no,code,year ,type,x,y,distx,elv,aq,ec,ph,hard,tds,temp,eh,Q,Ca,Mg,Fe,Mn,K,Na,CO3,HCO3,CO2,Cl,SO4,NO2,NO3,SiO2,cumrain,lag1
37,137,1997,groundwater,780604.2231,10759679.31,11468.02692,700,tuffsand,373,6.7,5.8,159.47,23.3,67,0.5,27,10,0.13,0.23,3.4,25.3,13.4,97.8,0,56.7,17,0,0.7,24,38.5,32.4
38,138,1997,groundwater,779823.6666,10760892.38,12248.58344,765,tuffsand,252,5.45,10,370.21,23.8,75,10,9.7,6.4,0.08,0.22,7.7,17,0.1,122.2,27.2,3.3,1.3,0,1.3,56,38.5,32.4
39,139,1997,groundwater,779808.4046,10763769.32,12263.84539,650,tuffsand,261,6.23,4,359.02,23.6,40,0.5,8.4,9.8,0.14,0.23,8.1,20,22.9,72,18.1,7.5,2.9,0,1.9,51,38.5,32.4
40,140,1997,groundwater,779749.8099,10753920.75,12322.4401,1150,tuffsand,293,6.14,6.2,126.47,21,43,0.5,18.4,5.4,0.17,0.22,11,14,31.3,23,13.9,19.4,0.5,0,1.2,29,38.5,32.4
41,141,1997,groundwater,779287.0807,10757791.22,12785.16935,940,tuffsand,160,6.4,7,95.49,23.5,38,0.5,6.8,1,0.16,0.22,5.6,9.6,1.7,50,0,2.7,1.3,0,2.1,42,38.5,32.4
42,142,1997,groundwater,778949.4861,10758895.98,13122.76393,790,tuffsand,167,6.6,8.8,155.7,23.3,-40,2,3.6,3.1,0.08,0.22,7,7.3,12.3,12.4,12.7,5.7,0.9,0,0.4,64,38.5,32.4
43,143,1997,groundwater,778412.2092,10755905.52,13660.04083,1130,tuffsand,122,5.98,6,83.81,23.3,67,0.5,3.2,0.7,0.1,0.22,5.3,6.7,10,12.4,45.3,4.2,2,0,3.2,29,38.5,32.4
44,144,1997,groundwater,777881.7124,10751587.28,14190.53764,990,breccias,91,5.82,9.6,83.4,22.2,76,0.5,3.4,1,0.1,0.22,4.2,9.5,0,46.4,18.1,3.6,0.9,0.02,0.8,55,38.5,32.4
45,145,1997,groundwater,777100.0357,10753021.7,14972.21428,820,breccias,167,6.6,4.5,113.39,22.8,40,1,1,0.9,0.06,0.22,3.8,8,7.7,16,0,5,0.4,0.02,0.6,43,38.5,32.4
46,146,1997,groundwater,776637.5243,10756892.13,15434.72573,760,tuffsand,495,6.11,6,311.45,23.4,62,1,8,17,0.2,0.23,6,8,7,8.9,90.6,53.1,61.3,0,4.3,23,38.5,32.4
47,147,1997,groundwater,776304.6,10757111.7,15767.65003,650,tuffsand,192,6.07,4,111.36,23.9,61,1,5,2.4,0.16,0.23,0.4,5.9,6.8,15,45.3,12,2,0.1,2.3,23,38.5,32.4
48,148,1997,groundwater,776193.4341,10757221.77,15878.8159,765,clay,680,6.72,7,123.8,24.3,54,1,65,13.3,0.16,0.22,3,36.3,0,330.6,117.8,48.6,10.5,0,2.4,35,38.5,32.4
49,149,1997,groundwater,775304.1237,10758102.36,16768.12634,760,clay,136,5,8.8,132.49,21.2,-81,1,18.1,10.3,0.2,0.22,11.7,27,0.2,176.4,0,20.7,7.5,0.02,0.1,43,38.5,32.4
50,150,1997,groundwater,771336.0161,10755537.01,20736.23393,700,breccias,213,6.21,10.7,279.59,24,42,1,21,13.1,0.13,0.23,3.6,26,10.8,45.8,20.1,62.7,56.8,0.02,4.5,46,38.5,32.4
51,151,1997,groundwater,768459.0276,10755854.36,23613.22239,765,clay,581,5.95,8,102.92,24.4,51,5,3,1.5,0.16,0.22,9.2,8.2,0,35.4,54.4,8.8,0.8,0,0.6,20,38.5,32.4
52,201,1998,groundwater,791358.411,10754868.21,713.8390093,1175,tuffsand,144,6.3,6.2,385.68,22.4,49,2,15,16.3,0.16,0.22,3,30.3,17.3,83,0,54.6,12.5,0,2.4,44,40.5,37.4
53,202,1998,groundwater,790201.3943,10764157.57,1870.855707,980,tuffsand,486,6.13,7,261.92,24.2,78,1,13,12,0.4,0.22,8.7,36,0,86,72.5,63.1,26.9,0.01,5.3,21,40.5,37.4
54,203,1998,groundwater,790005.7558,10759508.66,2066.494233,650,tuffsand,133,6.8,3.1,292,23.3,62,0.5,13.5,5.2,0.16,0.24,8.5,12,0,40.9,20.1,39,6.4,0.14,11.9,42.7,40.5,37.4
55,204,1998,groundwater,789968.6193,10766258.89,2103.630735,740,tuffsand,1083,7.6,20.3,1300,24.5,-2,0.2,12,32,0.2,0.24,8,103,0,238,20.1,124.4,48.1,0.28,5.7,39.8,40.5,37.4
